"","mt_id","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","sample_entropy"
"id0002","id0002",1,-609,831,0,-85.0821525881897,671,0.806590104621259,521,-85.0821525881897,671,-5.90439409715552,-46527,3,0,1,0,1000,511,670,0.0256424306133377
"id0003","id0003",1,-615,780,0,-65.4189620288372,811,8.56245417136441,691,-65.4189620288372,811,-14.1372180474599,-13329,3,0,1,0,1387,441,807,0.0246926125903715
"id0004","id0004",2,-577,861,0,99.1837292503677,1054,99.1837292503677,1054,-32.3360183446116,1414,5.50004828428127,51842,3,0,1,0,2211,774,1311,0.0932000481483406
"id0005","id0005",0,-559,826,-4,-64.3404142359889,1130,0,0,-64.3404142359889,1130,-20.6840936748697,-32053.5,3,1,0,1,1606,260,936,0.0500492949288661
"id0006","id0006",259,-822,755,0,623.55021984576,872,623.55021984576,872,-112.823992085472,1122,71.5515327946078,213985,2,0,1,0,2230,552,1450,0.0705483446981487
"id0007","id0007",170,-655,769,0,598.19931721652,841,598.19931721652,841,0,0,90.8554284560243,315863.5,1,2,1,0,1219,640,738,0.0325123270019038
"id0008","id0008",593,-532,878,0,880.764099830054,810,880.764099830054,810,-1.17280160485887,470,165.330334975691,550036,3,1,3,0,1311,30,571,0.0403556853488304
"id0009","id0009",1,-624,908,0,210.788834332636,770,210.788834332636,770,-3.5614666088065,440,27.5010892503418,153603.5,2,1,1,0,1566,20,846,0.0253584443497789
"id0010","id0010",0,-704,848,0,-76.8327049761992,781,0,0,-76.8327049761992,781,-17.54558209541,-51609,1,0,0,0,1030,420,529,0.0567442494107523
"id0011","id0011",0,-624,774,0,-71.3338407719766,1251,0,0,-71.3338407719766,1251,-17.9555103009257,-48131.5,1,0,0,0,1943,310,1112,0.0525001262509607
"id0012","id0012",18,-593,846,-5,97.7269446847738,1055,97.7269446847738,1055,-7.91471431383853,1176,4.29021941261783,70087,1,2,1,1,4142,350,3571,0.0484890047032197
"id0014","id0014",0,-676,943,-10,-154.12214031871,850,25.7413131930832,960,-154.12214031871,850,-6.94130172955282,-93530.5,4,2,0,1,1387,540,807,0.0312693939813946
"id0015","id0015",1,-596,802,0,84.5308057352279,690,84.5308057352279,690,-1.16291906924056,620,7.99035370974375,44035,1,0,1,0,1014,400,654,0.0281207353165241
"id0016","id0016",2,-573,757,0,162.908665023392,1050,162.908665023392,1050,-27.7846449123088,1210,4.25755740901134,83147.5,1,0,1,0,2381,270,1941,0.0232694481818312
"id0017","id0017",0,-683,941,0,276.245465996443,710,276.245465996443,710,0,0,33.7085639404773,207243.5,1,1,0,0,1086,600,726,0.0542268190841245
"id0018","id0018",0,-659,893,0,237.490664867243,1056,237.490664867243,1056,-11.8905833217064,726,26.6820913014334,161683,0,1,0,0,1546,180,916,0.0623068385979245
"id0019","id0019",1,-557,855,0,-66.7888413495037,700,0.842808048908946,180,-66.7888413495037,700,-11.7360114115384,-33117,3,0,1,0,1044,170,554,0.0254401097027815
"id0020","id0020",0,-557,808,0,96.0286172334278,750,96.0286172334278,750,-31.4481173613105,860,6.1967092617721,44598,1,0,0,0,1328,260,468,0.0534022202482676
"id0021","id0021",0,-589,829,0,31.9075637394367,1110,31.9075637394367,1110,-17.0580777917902,1070,-1.61105096367737,5784,0,0,0,0,1344,760,934,0.0240486745292695
"id0022","id0022",635,-710,883,0,984.891029998315,960,984.891029998315,960,-1.87989147469272,1190,180.364000742632,463557,1,2,1,0,1351,690,831,0.0644702873686524
"id0023","id0023",0,-546,800,0,-37.8973452916013,781,29.3837096659667,911,-37.8973452916013,781,2.48502873927085,-18364,0,0,0,0,1199,701,789,0.0897767125276438
"id0024","id0024",442,-616,805,0,664.9159301368,910,664.9159301368,910,-22.8250091422109,1130,78.6602829549938,275872.5,2,0,1,0,1768,680,978,0.0628453111424462
"id0025","id0025",0,-671,947,0,-38.0769037438145,890,24.4764709694812,950,-38.0769037438145,890,-0.632561570804962,-6578,0,0,0,0,1183,830,913,0.0249934909259296
"id0026","id0026",0,-754,944,0,-17.6632305551113,570,10.8071245133013,620,-17.6632305551113,570,-1.25495758928973,-1445.5,1,0,0,0,800,390,530,0.0275733269040997
"id0027","id0027",0,-686,834,0,78.4611408188977,785,78.4611408188977,785,-3.72952636709252,915,5.18211630912837,49345,1,0,0,0,1288,695,1028,0.0256424306133377
"id0028","id0028",0,-653,790,0,-64.8900487041498,960,7.00334710949702,840,-64.8900487041498,960,-14.0679311836642,-11553.5,1,0,0,0,1336,790,976,0.0243987110452729
"id0029","id0029",0,-635,859,0,-56.6490806905213,750,0,0,-56.6490806905213,750,-19.0328273174953,-29887,0,0,0,0,1111,570,730,0.0254749243209909
"id0030","id0030",0,-604,884,0,26.9371356954101,900,26.9371356954101,900,-5.98893599441641,840,1.43906710029965,8003,0,0,0,0,1144,490,894,0.024970086347759
"id0031","id0031",0,-731,895,0,34.6351506069221,1100,34.6351506069221,1100,-5.64474034101924,1160,1.56997042949919,15695.5,0,0,0,0,1320,340,1110,0.0240975515790605
"id0032","id0032",59,-679,828,0,193.293691100604,810,193.293691100604,810,0,0,24.6079874656251,146548.5,1,0,1,0,1103,630,783,0.0544276465760338
"id0033","id0033",0,-604,842,-2,-17.4975586109613,850,8.67011895208477,890,-17.4975586109613,850,-0.0145123496438116,-2466,0,2,0,1,1240,760,1000,0.0246632616856277
"id0034","id0034",0,-649,923,0,65.986864426292,530,65.986864426292,530,0,0,7.83573626961818,43830,0,0,0,0,817,440,557,0.0540254824301921
"id0035","id0035",722,-533,847,0,1019.04901791544,720,1019.04901791544,720,0,0,241.576313719261,458158,3,2,1,0,1488,550,918,0.0883999630372715
"id0036","id0036",0,-604,905,0,-144.974237311963,1211,3.87681807778378,1101,-144.974237311963,1211,-22.1819364142941,-81454.5,5,0,0,0,1579,1081,1099,0.0237634944521858
"id0037","id0037",0,-766,928,0,-109.672778107785,1050,98.4684771989862,1720,-109.672778107785,1050,20.8799431448869,-48477.5,2,4,0,0,3056,980,2026,0.0988458346366326
"id0038","id0038",2,-625,884,0,-91.8478934850783,1101,2.54843104805385,891,-91.8478934850783,1101,-16.2284967954898,-46520,1,0,1,0,1384,351,914,0.024362464571012
"id0039","id0039",348,-885,961,0,617.808402724669,1190,617.808402724669,1190,-71.5637018655952,1320,133.571609434843,482873.5,3,1,2,0,1616,480,606,0.139563391793746
"id0040","id0040",1,-762,887,-2,44.6464788522387,860,44.6464788522387,860,-11.8201204104589,1060,0.295135673449461,26984,2,2,1,1,1319,0,710,0.0545944527898436
"id0041","id0041",361,-692,921,-3,605.776616567701,1320,605.776616567701,1320,-29.7247385237385,960,99.0687352423434,102095.5,3,4,2,1,1920,210,940,0.116744074523964
"id0042","id0042",32,-558,806,-1,-72.3814727258099,1010,54.4715982092407,880,-72.3814727258099,1010,6.30111877743338,-1574,3,3,1,1,1385,10,495,0.0267369767854479
"id0043","id0043",0,-631,873,0,45.533304950415,1170,45.533304950415,1170,-15.8731104459436,1470,3.41366490503772,17524.5,2,0,0,0,1559,30,870,0.0621983434926266
"id0044","id0044",561,-593,848,-2,798.636120624614,870,798.636120624614,870,-1.16638028625709,280,230.131933086722,494752.5,1,3,1,1,1719,230,680,0.122515887933499
"id0045","id0045",581,-754,863,-1,972.266022133284,1210,972.266022133284,1210,-123.413228711993,1530,232.871212540108,399044,3,3,2,1,1801,240,971,0.106071776235482
"id0046","id0046",470,-824,887,0,878.116871031095,1030,878.116871031095,1030,-179.8731991523,1370,198.042549799678,379524,3,2,2,0,1816,400,876,0.161440180741599
"id0047","id0047",415,-741,869,0,792.4956616279,1091,792.4956616279,1091,-69.4123991866838,1461,119.115141782171,450972,3,2,2,0,1896,711,1026,0.132814575262779
"id0048","id0048",89,-550,893,0,141.337896499039,850,141.337896499039,850,0,0,18.5313643482438,91712.5,1,0,1,0,1184,710,874,0.0296534569269191
"id0049","id0049",302,-676,961,0,686.621671381279,1840,686.621671381279,1840,-121.727766222085,1060,59.2977396452374,107563,4,3,3,0,2440,880,1080,0.11876007530421
"id0050","id0050",590,-553,829,-1,849.020975127799,930,849.020975127799,930,-0.560534329556718,10,187.723555143224,499195.5,1,4,1,1,1487,0,807,0.0484576252316007
"id0051","id0051",1,-626,844,0,58.0605440066144,620,58.0605440066144,620,-21.5268223157213,870,1.49829127811083,23323.5,2,0,1,0,1240,260,580,0.0542257375581562
"id0052","id0052",557,-840,843,-1,972.446327325605,2390,972.446327325605,2390,-79.4512914540871,2680,205.562237854016,387931,6,6,3,1,3288,20,1048,0.355779688731221
"id0054","id0054",27,-530,881,0,-126.143002107245,960,26.2290529703148,790,-126.143002107245,960,-27.3694573747801,-70561,3,0,1,0,1392,450,672,0.0264597516963712
"id0055","id0055",6,-652,901,0,47.0348293622632,1030,47.0348293622632,1030,-35.9435868164322,1140,-3.73872354026713,22726.5,2,0,1,0,1544,480,1004,0.0499865317056788
"id0056","id0056",0,-852,956,-2,-419.169966955438,1760,0.216180253168651,1600,-419.169966955438,1760,-43.5026136081367,-233116.5,1,1,0,1,2159,70,1639,0.0523106776954989
"id0057","id0057",0,-588,930,0,-72.6989598560643,871,0,0,-72.6989598560643,871,-16.4657284025523,-55383.5,1,0,0,0,1416,791,846,0.0301860189396042
